Arrondissement;nb_ventes_2020;prix_median_2020;prix_m2_median_2020;nb_ventes_2021;prix_median_2021;prix_m2_median_2021;nb_ventes_2022;prix_median_2022;prix_m2_median_2022;nb_ventes_2023;prix_median_2023;prix_m2_median_2023;nb_ventes_2024;prix_median_2024;prix_m2_median_2024;nb_ventes_2025;prix_median_2025;prix_m2_median_2025;nb_appartement_2020;pct_appartement_2020;nb_local_industriel._commercial_ou_assimilé_2020;pct_local_industriel._commercial_ou_assimilé_2020;nb_dépendance_2020;pct_dépendance_2020;type_dominant_2020;nb_appartement_2021;pct_appartement_2021;nb_local_industriel._commercial_ou_assimilé_2021;pct_local_industriel._commercial_ou_assimilé_2021;nb_dépendance_2021;pct_dépendance_2021;type_dominant_2021;nb_appartement_2022;pct_appartement_2022;nb_dépendance_2022;pct_dépendance_2022;nb_local_industriel._commercial_ou_assimilé_2022;pct_local_industriel._commercial_ou_assimilé_2022;type_dominant_2022;nb_appartement_2023;pct_appartement_2023;nb_dépendance_2023;pct_dépendance_2023;nb_local_industriel._commercial_ou_assimilé_2023;pct_local_industriel._commercial_ou_assimilé_2023;type_dominant_2023;nb_appartement_2024;pct_appartement_2024;nb_local_industriel._commercial_ou_assimilé_2024;pct_local_industriel._commercial_ou_assimilé_2024;nb_dépendance_2024;pct_dépendance_2024;type_dominant_2024;nb_appartement_2025;pct_appartement_2025;nb_dépendance_2025;pct_dépendance_2025;nb_local_industriel._commercial_ou_assimilé_2025;pct_local_industriel._commercial_ou_assimilé_2025;type_dominant_2025;nb_T1_2020;pct_T1_2020;nb_T2_2020;pct_T2_2020;nb_T3_2020;pct_T3_2020;nb_T4_2020;pct_T4_2020;nb_T5plus_2020;pct_T5plus_2020;nb_maison_2020;pct_maison_2020;nb_T1_2021;pct_T1_2021;nb_T2_2021;pct_T2_2021;nb_T3_2021;pct_T3_2021;nb_T4_2021;pct_T4_2021;nb_T5plus_2021;pct_T5plus_2021;nb_maison_2021;pct_maison_2021;nb_T1_2022;pct_T1_2022;nb_T2_2022;pct_T2_2022;nb_T3_2022;pct_T3_2022;nb_T4_2022;pct_T4_2022;nb_T5plus_2022;pct_T5plus_2022;nb_maison_2022;pct_maison_2022;nb_T1_2023;pct_T1_2023;nb_T2_2023;pct_T2_2023;nb_T3_2023;pct_T3_2023;nb_T4_2023;pct_T4_2023;nb_T5plus_2023;pct_T5plus_2023;nb_maison_2023;pct_maison_2023;nb_T1_2024;pct_T1_2024;nb_T2_2024;pct_T2_2024;nb_T3_2024;pct_T3_2024;nb_T4_2024;pct_T4_2024;nb_T5plus_2024;pct_T5plus_2024;nb_maison_2024;pct_maison_2024;nb_T1_2025;pct_T1_2025;nb_T2_2025;pct_T2_2025;nb_T3_2025;pct_T3_2025;nb_T4_2025;pct_T4_2025;nb_T5plus_2025;pct_T5plus_2025;nb_maison_2025;pct_maison_2025;evolution_prix_2020_2024_pct;evolution_prix_m2_2020_2024_pct;evolution_prix_2020_2021_pct;evolution_prix_m2_2020_2021_pct;evolution_volume_2020_2021_pct;evolution_prix_2021_2022_pct;evolution_prix_m2_2021_2022_pct;evolution_volume_2021_2022_pct;evolution_prix_2022_2023_pct;evolution_prix_m2_2022_2023_pct;evolution_volume_2022_2023_pct;evolution_prix_2023_2024_pct;evolution_prix_m2_2023_2024_pct;evolution_volume_2023_2024_pct;evolution_prix_2024_2025_pct;evolution_prix_m2_2024_2025_pct;evolution_volume_2024_2025_pct;tendance_prix_m2;evolution_annuelle_moyenne_pct;volatilite_prix_m2;nb_appartements_2024;nb_maisons_2024;pct_appartements;nb_pieces_moyen;nb_stations_metro;trafic_total_metro;nb_lignes_metro;lignes_metro;nb_lignes_rer;lignes_rer;no2_moyen;pm10_moyen;o3_moyen;qualite_air_dominante;population_2022;nb_menages_2022;nb_logements_2022;superficie_km2;densite_pop_km2;revenu_median;nb_logements_sociaux_apur;part_logements_sociaux_apur_pct;estimation_logement_social_pct;ratio_effort_achat;indice_accessibilite;indice_tension_sociale;indice_attractivite;indice_pression_immo
11;2094;399000;11304;6719;517000;11669;7324;470000;11142;5487;405650;10454;5827;400000;10000;1833;390000;10000;1442;68.9;231;11.0;415;19.8;Appartement;4017;59.8;403;6.0;2292;34.1;Appartement;3750;51.2;2945;40.2;622;8.5;Appartement;2711;49.4;2444;44.5;323;5.9;Appartement;2887;49.5;502;8.6;2433;41.8;Appartement;859;46.9;870;47.5;104;5.7;Dépendance;443;30.5;538;37.1;320;22.1;115;7.9;33;2.3;4;0.3;1031;25.4;1853;45.7;854;21.1;232;5.7;80;2.0;1;0.0;1129;29.8;1488;39.3;784;20.7;275;7.3;96;2.5;2;0.1;815;29.9;1035;37.9;592;21.7;174;6.4;102;3.7;2;0.1;864;29.7;1133;38.9;579;19.9;241;8.3;85;2.9;1;0.0;261;30.3;342;39.7;162;18.8;58;6.7;37;4.3;0;0.0;0.3;-11.5;29.6;3.2;220.9;-9.1;-4.5;9.0;-13.7;-6.2;-25.1;-1.4;-4.3;6.2;-2.5;0.0;-68.5;Baisse modérée;-2.4;3.5;2887;1;100.0;2.2;16;42107896;8;2, 3, 5, 8, 9, 11, 11.0, 9.0;;;36.1;32.1;38.0;Moyenne;147476;74200;83400;3.67;40184.0;31300;13176;15.5;Moyen (10-20%);15.97;3.25;4.96;4.32;4.3
12;2833;511800;10500;3996;429000;10428;5074;450500;10218;4093;404000;9625;3771;368175;9000;1405;375000;8976;1706;60.2;457;16.1;661;23.3;Appartement;2072;51.9;219;5.5;1683;42.1;Appartement;2211;43.6;2549;50.2;289;5.7;Dépendance;1899;46.4;1989;48.6;190;4.6;Dépendance;1693;44.9;187;5.0;1848;49.0;Dépendance;655;46.6;680;48.4;66;4.7;Dépendance;336;19.6;903;52.6;267;15.6;98;5.7;111;6.5;8;0.5;510;24.4;775;37.1;488;23.3;213;10.2;100;4.8;12;0.6;570;25.5;764;34.2;555;24.9;250;11.2;91;4.1;10;0.4;516;26.8;703;36.5;447;23.2;189;9.8;63;3.3;5;0.3;426;24.9;652;38.2;373;21.8;181;10.6;75;4.4;4;0.2;150;22.7;258;39.0;150;22.7;73;11.0;27;4.1;2;0.3;-28.1;-14.3;-16.2;-0.7;41.1;5.0;-2.0;27.0;-10.3;-5.8;-19.3;-8.9;-6.5;-7.9;1.9;-0.3;-62.7;Baisse modérée;-3.1;2.6;1693;4;99.8;2.3;19;81777670;9;1, 2, 5, 6, 8, 9, 14, 9.0, A;1.0;A;36.3;32.0;38.5;Moyenne;140694;70800;79500;16.32;8621.0;32850;20177;27.4;Élevé (>20%);13.7;6.57;2.87;6.43;3.7
13;1149;380000;10082;3794;438882;10000;4330;420300;10000;3612;386500;9214;3562;400000;8848;1189;350000;8741;710;61.8;91;7.9;306;26.6;Appartement;1951;51.4;147;3.9;1654;43.6;Appartement;2011;46.4;2057;47.5;187;4.3;Dépendance;1646;45.6;1729;47.9;140;3.9;Dépendance;1659;46.6;145;4.1;1725;48.4;Dépendance;578;48.6;551;46.3;40;3.4;Appartement;192;26.4;279;38.4;161;22.2;60;8.3;31;4.3;12;1.7;482;24.2;701;35.2;577;29.0;155;7.8;74;3.7;21;1.1;591;29.0;760;37.2;456;22.3;165;8.1;64;3.1;17;0.8;522;31.2;571;34.1;395;23.6;123;7.3;60;3.6;19;1.1;525;30.8;590;34.6;382;22.4;150;8.8;59;3.5;18;1.1;153;26.0;232;39.5;135;23.0;56;9.5;12;2.0;9;1.5;5.3;-12.2;15.5;-0.8;230.2;-4.2;0.0;14.1;-8.0;-7.9;-16.6;3.5;-4.0;-1.4;-12.5;-1.2;-66.6;Baisse modérée;-2.8;2.9;1659;18;98.9;2.2;18;54466958;5;5, 6, 7, 10, 14;;;34.9;31.9;38.3;Moyenne;181557;91000;102200;7.15;25393.0;25675;39162;43.8;Élevé (>20%);17.23;1.41;0.87;3.51;3.28
14;1400;500000;11252;3855;474000;10888;4495;490000;10728;4023;426240;10178;3471;371600;9464;1553;392500;9521;968;69.1;128;9.1;288;20.6;Appartement;2124;55.1;220;5.7;1470;38.1;Appartement;2068;46.0;2181;48.5;205;4.6;Dépendance;1900;47.2;1916;47.6;174;4.3;Dépendance;1626;46.8;155;4.5;1644;47.4;Dépendance;727;46.8;719;46.3;98;6.3;Appartement;249;25.1;390;39.3;222;22.4;88;8.9;42;4.2;8;0.8;615;27.9;688;31.3;530;24.1;263;11.9;102;4.6;25;1.1;532;25.1;751;35.4;535;25.2;205;9.7;91;4.3;22;1.0;551;28.4;732;37.7;420;21.6;164;8.4;73;3.8;22;1.1;459;27.7;623;37.6;358;21.6;138;8.3;72;4.3;22;1.3;214;29.0;271;36.8;166;22.5;50;6.8;35;4.7;6;0.8;-25.7;-15.9;-5.2;-3.2;175.4;3.4;-1.5;16.6;-13.0;-5.1;-10.5;-12.8;-7.0;-13.7;5.6;0.6;-55.3;Baisse modérée;-3.2;2.7;1626;22;98.7;2.3;12;46001488;5;4, 6, 12, 13, 13.0;1.0;B;33.5;31.4;38.1;Moyenne;135964;68400;76900;5.64;24107.0;33020;22500;30.9;Élevé (>20%);14.33;5.65;2.8;3.3;4.38
15;3355;584000;11000;9895;597441;10894;12983;715350;10892;7543;465000;10105;7311;442250;9642;2695;425000;9600;1966;58.6;386;11.5;975;29.1;Appartement;4923;49.8;520;5.3;4424;44.7;Appartement;5756;44.3;5919;45.6;1263;9.7;Dépendance;3304;43.8;3778;50.1;404;5.4;Dépendance;3344;45.7;341;4.7;3591;49.1;Dépendance;1161;43.1;1381;51.2;149;5.5;Dépendance;514;25.4;631;31.2;548;27.1;230;11.4;97;4.8;5;0.2;1302;26.2;1586;32.0;1286;25.9;548;11.0;237;4.8;9;0.2;1128;19.4;1957;33.7;1931;33.3;555;9.6;225;3.9;19;0.3;921;27.5;1080;32.2;814;24.3;352;10.5;177;5.3;18;0.5;903;26.7;1096;32.4;803;23.7;420;12.4;160;4.7;12;0.4;327;27.9;402;34.3;260;22.2;113;9.6;67;5.7;2;0.2;-24.3;-12.3;2.3;-1.0;194.9;19.7;-0.0;31.2;-35.0;-7.2;-41.9;-4.9;-4.6;-3.1;-3.9;-0.4;-63.1;Baisse modérée;-2.6;2.8;3344;12;99.6;2.4;19;42680563;4;6, 8, 10, 12;;;33.1;31.2;37.9;Moyenne;233392;117200;131800;8.48;27523.0;36640;26183;20.6;Élevé (>20%);13.16;7.36;4.12;2.86;4.59
16;3322;846000;12127;8511;940436;11931;10018;888960;12157;7698;788000;11651;6818;692000;11122;2754;810000;11301;1636;49.2;453;13.6;1214;36.5;Appartement;3555;41.8;666;7.8;4223;49.6;Dépendance;3975;39.7;5597;55.9;397;4.0;Dépendance;2891;37.6;4343;56.4;422;5.5;Dépendance;2668;39.1;347;5.1;3771;55.3;Dépendance;1040;37.8;1562;56.7;143;5.2;Dépendance;361;21.6;363;21.8;321;19.2;292;17.5;331;19.8;19;1.1;781;21.3;769;21.0;720;19.6;584;15.9;812;22.1;54;1.5;962;23.8;787;19.5;785;19.4;678;16.8;825;20.4;36;0.9;644;21.8;649;22.0;597;20.2;453;15.4;607;20.6;31;1.1;647;23.7;589;21.6;539;19.7;403;14.7;554;20.3;22;0.8;233;22.1;232;22.0;230;21.8;156;14.8;202;19.1;8;0.8;-18.2;-8.3;11.2;-1.6;156.2;-5.5;1.9;17.7;-11.4;-4.2;-23.2;-12.2;-4.5;-11.4;17.1;1.6;-59.6;Stable;-1.4;2.7;2668;22;99.2;3.0;20;38588088;5;1, 2, 6, 9, 10;;;36.3;32.2;37.7;Moyenne;165446;83200;93500;16.31;10144.0;48935;6304;6.6;Faible (<10%);11.36;10.0;6.79;3.6;3.73
17;2491;505000;11605;7023;582500;11538;8376;575000;11552;6304;485000;10928;5774;458700;10236;2643;485000;10377;1553;62.3;196;7.9;707;28.4;Appartement;3546;50.5;537;7.6;2911;41.4;Appartement;3972;47.4;3800;45.4;578;6.9;Appartement;2925;46.4;2983;47.3;380;6.0;Dépendance;2639;45.7;370;6.4;2740;47.5;Dépendance;1205;45.6;1323;50.1;108;4.1;Dépendance;346;21.7;517;32.5;372;23.4;170;10.7;183;11.5;18;1.1;856;23.9;1136;31.7;838;23.4;398;11.1;352;9.8;9;0.3;923;23.0;1285;32.0;867;21.6;502;12.5;428;10.7;11;0.3;717;24.1;1010;34.0;627;21.1;311;10.5;300;10.1;7;0.2;704;26.3;874;32.7;583;21.8;280;10.5;231;8.6;4;0.1;328;27.0;405;33.3;236;19.4;127;10.4;119;9.8;5;0.4;-9.2;-11.8;15.3;-0.6;181.9;-1.3;0.1;19.3;-15.7;-5.4;-24.7;-5.4;-6.3;-8.4;5.7;1.4;-54.2;Baisse modérée;-2.2;3.1;2639;4;99.8;2.5;16;41622120;5;1, 2, 3, 13, 14;1.0;A;37.2;32.4;38.1;Moyenne;167288;84100;94500;5.67;29504.0;41250;16711;17.6;Moyen (10-20%);12.41;8.46;4.89;3.39;4.79
18;2692;403600;10581;7850;450000;10488;8423;395050;10219;7360;400000;9672;5707;328000;8858;3295;435600;9000;2059;76.5;188;7.0;433;16.1;Appartement;4052;51.6;901;11.5;2850;36.3;Appartement;4532;53.8;3508;41.6;357;4.2;Appartement;4128;56.1;2966;40.3;243;3.3;Appartement;2925;51.3;349;6.1;2392;41.9;Appartement;1640;49.8;1495;45.4;149;4.5;Appartement;579;27.6;903;43.0;446;21.2;131;6.2;39;1.9;7;0.3;1096;26.3;1772;42.6;917;22.0;275;6.6;98;2.4;18;0.4;1136;24.6;2038;44.1;1016;22.0;325;7.0;94;2.0;12;0.3;1114;26.3;2033;48.0;791;18.7;217;5.1;67;1.6;13;0.3;911;30.4;1223;40.8;610;20.4;184;6.1;62;2.1;11;0.4;459;27.7;694;41.9;350;21.1;113;6.8;32;1.9;7;0.4;-18.7;-16.3;11.5;-0.9;191.6;-12.2;-2.6;7.3;1.3;-5.4;-12.6;-18.0;-8.4;-22.5;32.8;1.6;-42.3;Baisse modérée;-3.1;3.5;2925;11;99.6;2.1;13;41870261;3;2, 4, 12;;;36.7;32.2;38.7;Moyenne;195104;97800;110200;6.01;32463.0;26375;25697;25.3;Élevé (>20%);16.79;2.05;3.01;2.15;6.76
19;1546;436500;9413;5435;543700;9619;5618;455775;9528;4944;450000;8896;3739;370000;7986;1553;355800;8221;1031;66.7;127;8.2;370;23.9;Appartement;3071;56.5;267;4.9;2070;38.1;Appartement;2683;47.8;2637;46.9;245;4.4;Appartement;2493;50.4;2165;43.8;258;5.2;Appartement;1550;41.5;603;16.1;1558;41.7;Dépendance;661;42.6;795;51.2;89;5.7;Dépendance;318;30.0;387;36.5;235;22.2;93;8.8;27;2.5;16;1.5;847;26.8;1306;41.3;740;23.4;199;6.3;72;2.3;22;0.7;698;25.5;1100;40.1;657;24.0;216;7.9;68;2.5;36;1.3;1069;42.2;777;30.7;459;18.1;168;6.6;54;2.1;27;1.1;432;27.3;608;38.4;357;22.6;136;8.6;48;3.0;22;1.4;215;31.9;251;37.2;135;20.0;56;8.3;17;2.5;7;1.0;-15.2;-15.2;24.6;2.2;251.6;-16.2;-0.9;3.4;-1.3;-6.6;-12.0;-17.8;-10.2;-24.4;-3.8;2.9;-58.5;Baisse modérée;-2.5;5.1;1550;22;98.6;2.2;15;32408205;5;2, 5, 7, 11, 7bis;;;37.4;32.4;38.7;Moyenne;184038;91500;103200;6.79;27104.0;21960;38390;46.0;Élevé (>20%);18.18;0.01;0.0;1.91;6.29
20;1645;400000;9722;5445;489450;9730;5446;400000;9529;4246;360385;8857;4185;339500;8372;2032;380500;8450;1113;67.7;111;6.7;411;25.0;Appartement;2832;52.0;355;6.5;2199;40.4;Appartement;2658;48.8;2520;46.3;231;4.2;Appartement;2031;47.8;2042;48.1;139;3.3;Dépendance;2083;49.8;120;2.9;1956;46.7;Appartement;995;49.0;952;46.9;63;3.1;Appartement;311;27.4;439;38.7;272;24.0;91;8.0;21;1.9;6;0.5;823;28.4;1180;40.7;619;21.4;199;6.9;74;2.6;35;1.2;775;28.3;1047;38.2;633;23.1;222;8.1;63;2.3;22;0.8;627;30.0;767;36.7;457;21.9;184;8.8;52;2.5;26;1.2;624;29.3;853;40.1;440;20.7;152;7.1;57;2.7;14;0.7;351;34.8;353;35.0;190;18.8;79;7.8;35;3.5;12;1.2;-15.1;-13.9;22.4;0.1;231.0;-18.3;-2.1;0.0;-9.9;-7.1;-22.0;-5.8;-5.5;-1.4;12.1;0.9;-51.4;Baisse modérée;-2.7;3.1;2083;14;99.3;2.1;11;26999499;5;2, 3, 9, 11, 3bis;;;36.1;31.8;38.3;Moyenne;195814;97200;109400;5.98;32745.0;23520;39727;43.6;Élevé (>20%);17.8;0.57;0.55;1.77;4.15
