Arrondissement;nb_ventes_2020;prix_median_2020;prix_m2_median_2020;nb_ventes_2021;prix_median_2021;prix_m2_median_2021;nb_ventes_2022;prix_median_2022;prix_m2_median_2022;nb_ventes_2023;prix_median_2023;prix_m2_median_2023;nb_ventes_2024;prix_median_2024;prix_m2_median_2024;nb_ventes_2025;prix_median_2025;prix_m2_median_2025;nb_T1_2020;pct_T1_2020;nb_T2_2020;pct_T2_2020;nb_T3_2020;pct_T3_2020;nb_T4_2020;pct_T4_2020;nb_T5plus_2020;pct_T5plus_2020;nb_maison_2020;pct_maison_2020;nb_T1_2021;pct_T1_2021;nb_T2_2021;pct_T2_2021;nb_T3_2021;pct_T3_2021;nb_T4_2021;pct_T4_2021;nb_T5plus_2021;pct_T5plus_2021;nb_maison_2021;pct_maison_2021;nb_T1_2022;pct_T1_2022;nb_T2_2022;pct_T2_2022;nb_T3_2022;pct_T3_2022;nb_T4_2022;pct_T4_2022;nb_T5plus_2022;pct_T5plus_2022;nb_maison_2022;pct_maison_2022;nb_T1_2023;pct_T1_2023;nb_T2_2023;pct_T2_2023;nb_T3_2023;pct_T3_2023;nb_T4_2023;pct_T4_2023;nb_T5plus_2023;pct_T5plus_2023;nb_maison_2023;pct_maison_2023;nb_T1_2024;pct_T1_2024;nb_T2_2024;pct_T2_2024;nb_T3_2024;pct_T3_2024;nb_T4_2024;pct_T4_2024;nb_T5plus_2024;pct_T5plus_2024;nb_maison_2024;pct_maison_2024;nb_T1_2025;pct_T1_2025;nb_T2_2025;pct_T2_2025;nb_T3_2025;pct_T3_2025;nb_T4_2025;pct_T4_2025;nb_T5plus_2025;pct_T5plus_2025;nb_maison_2025;pct_maison_2025;evolution_prix_2020_2024_pct;evolution_prix_m2_2020_2024_pct;evolution_prix_2020_2021_pct;evolution_prix_2021_2022_pct;evolution_prix_2022_2023_pct;evolution_prix_2023_2024_pct;evolution_prix_2024_2025_pct;evolution_prix_m2_2020_2021_pct;evolution_prix_m2_2021_2022_pct;evolution_prix_m2_2022_2023_pct;evolution_prix_m2_2023_2024_pct;evolution_prix_m2_2024_2025_pct;tendance_prix_m2;evolution_annuelle_moyenne_pct;volatilite_prix_m2;evolution_volume_2020_2021_pct;evolution_volume_2021_2022_pct;evolution_volume_2022_2023_pct;evolution_volume_2023_2024_pct;evolution_volume_2024_2025_pct;nb_appartements_2024;nb_maisons_2024;pct_appartements;nb_pieces_moyen;nb_stations_metro;trafic_total_metro;nb_lignes_metro;lignes_metro;nb_lignes_rer;lignes_rer;no2_moyen;pm10_moyen;o3_moyen;qualite_air_dominante;population_2018;nb_menages_2018;nb_logements_2018;prix_m2_stats_2020;nb_logements_sociaux_apur;part_logements_sociaux_apur_pct;estimation_logement_social_pct
11;2094;399000;11304;6719;517000;11669;7324;470000;11142;5487;405650;10454;5827;400000;10000;1833;390000;10000;443;30.5;538;37.1;320;22.1;115;7.9;33;2.3;4;0.3;1031;25.4;1853;45.7;854;21.1;232;5.7;80;2.0;1;0.0;1129;29.8;1488;39.3;784;20.7;275;7.3;96;2.5;2;0.1;815;29.9;1035;37.9;592;21.7;174;6.4;102;3.7;2;0.1;864;29.7;1133;38.9;579;19.9;241;8.3;85;2.9;1;0.0;261;30.3;342;39.7;162;18.8;58;6.7;37;4.3;0;0.0;0.3;-11.5;29.6;-9.1;-13.7;-1.4;-2.5;3.2;-4.5;-6.2;-4.3;0.0;Baisse modérée;-2.4;3.5;220.9;9.0;-25.1;6.2;-68.5;2910;1;100.0;2.2;16;42107896;8;2, 3, 5, 8, 9, 11, 11.0, 9.0;;;36.1;32.1;38.0;Moyenne;2175601;1140772;1386846;10525;13176;15.5;Faible (<10%)
12;2833;511800;10500;3996;429000;10428;5074;450500;10218;4093;404000;9625;3771;368175;9000;1405;375000;8976;336;19.6;903;52.6;267;15.6;98;5.7;111;6.5;8;0.5;510;24.4;775;37.1;488;23.3;213;10.2;100;4.8;12;0.6;570;25.5;764;34.2;555;24.9;250;11.2;91;4.1;10;0.4;516;26.8;703;36.5;447;23.2;189;9.8;63;3.3;5;0.3;426;24.9;652;38.2;373;21.8;181;10.6;75;4.4;4;0.2;150;22.7;258;39.0;150;22.7;73;11.0;27;4.1;2;0.3;-28.1;-14.3;-16.2;5.0;-10.3;-8.9;1.9;-0.7;-2.0;-5.8;-6.5;-0.3;Baisse modérée;-3.1;2.6;41.1;27.0;-19.3;-7.9;-62.7;1705;4;99.8;2.3;19;81777670;9;1, 2, 5, 6, 8, 9, 14, 9.0, A;1.0;A;36.3;32.0;38.5;Moyenne;2175601;1140772;1386846;9706;20177;27.4;Faible (<10%)
13;1149;380000;10082;3794;438882;10000;4330;420300;10000;3612;386500;9214;3562;400000;8848;1189;350000;8741;192;26.4;279;38.4;161;22.2;60;8.3;31;4.3;12;1.7;482;24.2;701;35.2;577;29.0;155;7.8;74;3.7;21;1.1;591;29.0;760;37.2;456;22.3;165;8.1;64;3.1;17;0.8;522;31.2;571;34.1;395;23.6;123;7.3;60;3.6;19;1.1;525;30.8;590;34.6;382;22.4;150;8.8;59;3.5;18;1.1;153;26.0;232;39.5;135;23.0;56;9.5;12;2.0;9;1.5;5.3;-12.2;15.5;-4.2;-8.0;3.5;-12.5;-0.8;0.0;-7.9;-4.0;-1.2;Baisse modérée;-2.8;2.9;230.2;14.1;-16.6;-1.4;-66.6;1689;18;98.9;2.2;18;54466958;5;5, 6, 7, 10, 14;;;34.9;31.9;38.3;Moyenne;2175601;1140772;1386846;9508;39162;43.8;Moyen (10-20%)
14;1400;500000;11252;3855;474000;10888;4495;490000;10728;4023;426240;10178;3471;371600;9464;1553;392500;9521;249;25.1;390;39.3;222;22.4;88;8.9;42;4.2;8;0.8;615;27.9;688;31.3;530;24.1;263;11.9;102;4.6;25;1.1;532;25.1;751;35.4;535;25.2;205;9.7;91;4.3;22;1.0;551;28.4;732;37.7;420;21.6;164;8.4;73;3.8;22;1.1;459;27.7;623;37.6;358;21.6;138;8.3;72;4.3;22;1.3;214;29.0;271;36.8;166;22.5;50;6.8;35;4.7;6;0.8;-25.7;-15.9;-5.2;3.4;-13.0;-12.8;5.6;-3.2;-1.5;-5.1;-7.0;0.6;Baisse modérée;-3.2;2.7;175.4;16.6;-10.5;-13.7;-55.3;1634;22;98.7;2.3;12;46001488;5;4, 6, 12, 13, 13.0;1.0;B;33.5;31.4;38.1;Moyenne;2175601;1140772;1386846;10172;22500;30.9;Faible (<10%)
15;3355;584000;11000;9895;597441;10894;12983;715350;10892;7543;465000;10105;7311;442250;9642;2695;425000;9600;514;25.4;631;31.2;548;27.1;230;11.4;97;4.8;5;0.2;1302;26.2;1586;32.0;1286;25.9;548;11.0;237;4.8;9;0.2;1128;19.4;1957;33.7;1931;33.3;555;9.6;225;3.9;19;0.3;921;27.5;1080;32.2;814;24.3;352;10.5;177;5.3;18;0.5;903;26.7;1096;32.4;803;23.7;420;12.4;160;4.7;12;0.4;327;27.9;402;34.3;260;22.2;113;9.6;67;5.7;2;0.2;-24.3;-12.3;2.3;19.7;-35.0;-4.9;-3.9;-1.0;-0.0;-7.2;-4.6;-0.4;Baisse modérée;-2.6;2.8;194.9;31.2;-41.9;-3.1;-63.1;3373;12;99.6;2.4;19;42680563;4;6, 8, 10, 12;;;33.1;31.2;37.9;Moyenne;2175601;1140772;1386846;10401;26183;20.6;Faible (<10%)
16;3322;846000;12127;8511;940436;11931;10018;888960;12157;7698;788000;11651;6818;692000;11122;2754;810000;11301;361;21.6;363;21.8;321;19.2;292;17.5;331;19.8;19;1.1;781;21.3;769;21.0;720;19.6;584;15.9;812;22.1;54;1.5;962;23.8;787;19.5;785;19.4;678;16.8;825;20.4;36;0.9;644;21.8;649;22.0;597;20.2;453;15.4;607;20.6;31;1.1;647;23.7;589;21.6;539;19.7;403;14.7;554;20.3;22;0.8;233;22.1;232;22.0;230;21.8;156;14.8;202;19.1;8;0.8;-18.2;-8.3;11.2;-5.5;-11.4;-12.2;17.1;-1.6;1.9;-4.2;-4.5;1.6;Stable;-1.4;2.7;156.2;17.7;-23.2;-11.4;-59.6;2711;22;99.2;3.0;20;38588088;5;1, 2, 6, 9, 10;;;36.3;32.2;37.7;Moyenne;2175601;1140772;1386846;10754;6304;6.6;Faible (<10%)
17;2491;505000;11605;7023;582500;11538;8376;575000;11552;6304;485000;10928;5774;458700;10236;2643;485000;10377;346;21.7;517;32.5;372;23.4;170;10.7;183;11.5;18;1.1;856;23.9;1136;31.7;838;23.4;398;11.1;352;9.8;9;0.3;923;23.0;1285;32.0;867;21.6;502;12.5;428;10.7;11;0.3;717;24.1;1010;34.0;627;21.1;311;10.5;300;10.1;7;0.2;704;26.3;874;32.7;583;21.8;280;10.5;231;8.6;4;0.1;328;27.0;405;33.3;236;19.4;127;10.4;119;9.8;5;0.4;-9.2;-11.8;15.3;-1.3;-15.7;-5.4;5.7;-0.6;0.1;-5.4;-6.3;1.4;Baisse modérée;-2.2;3.1;181.9;19.3;-24.7;-8.4;-54.2;2671;4;99.9;2.5;16;41622120;5;1, 2, 3, 13, 14;1.0;A;37.2;32.4;38.1;Moyenne;2175601;1140772;1386846;10909;16711;17.6;Faible (<10%)
18;2692;403600;10581;7850;450000;10488;8423;395050;10219;7360;400000;9672;5707;328000;8858;3295;435600;9000;579;27.6;903;43.0;446;21.2;131;6.2;39;1.9;7;0.3;1096;26.3;1772;42.6;917;22.0;275;6.6;98;2.4;18;0.4;1136;24.6;2038;44.1;1016;22.0;325;7.0;94;2.0;12;0.3;1114;26.3;2033;48.0;791;18.7;217;5.1;67;1.6;13;0.3;911;30.4;1223;40.8;610;20.4;184;6.1;62;2.1;11;0.4;459;27.7;694;41.9;350;21.1;113;6.8;32;1.9;7;0.4;-18.7;-16.3;11.5;-12.2;1.3;-18.0;32.8;-0.9;-2.6;-5.4;-8.4;1.6;Baisse modérée;-3.1;3.5;191.6;7.3;-12.6;-22.5;-42.3;2986;11;99.6;2.1;13;41870261;3;2, 4, 12;;;36.7;32.2;38.7;Moyenne;2175601;1140772;1386846;9935;25697;25.3;Moyen (10-20%)
19;1546;436500;9413;5435;543700;9619;5618;455775;9528;4944;450000;8896;3739;370000;7986;1553;355800;8221;318;30.0;387;36.5;235;22.2;93;8.8;27;2.5;16;1.5;847;26.8;1306;41.3;740;23.4;199;6.3;72;2.3;22;0.7;698;25.5;1100;40.1;657;24.0;216;7.9;68;2.5;36;1.3;1069;42.2;777;30.7;459;18.1;168;6.6;54;2.1;27;1.1;432;27.3;608;38.4;357;22.6;136;8.6;48;3.0;22;1.4;215;31.9;251;37.2;135;20.0;56;8.3;17;2.5;7;1.0;-15.2;-15.2;24.6;-16.2;-1.3;-17.8;-3.8;2.2;-0.9;-6.6;-10.2;2.9;Baisse modérée;-2.5;5.1;251.6;3.4;-12.0;-24.4;-58.5;1560;22;98.6;2.2;15;32408205;5;2, 5, 7, 11, 7bis;;;37.4;32.4;38.7;Moyenne;2175601;1140772;1386846;8956;38390;46.0;Moyen (10-20%)
20;1645;400000;9722;5445;489450;9730;5446;400000;9529;4246;360385;8857;4185;339500;8372;2032;380500;8450;311;27.4;439;38.7;272;24.0;91;8.0;21;1.9;6;0.5;823;28.4;1180;40.7;619;21.4;199;6.9;74;2.6;35;1.2;775;28.3;1047;38.2;633;23.1;222;8.1;63;2.3;22;0.8;627;30.0;767;36.7;457;21.9;184;8.8;52;2.5;26;1.2;624;29.3;853;40.1;440;20.7;152;7.1;57;2.7;14;0.7;351;34.8;353;35.0;190;18.8;79;7.8;35;3.5;12;1.2;-15.1;-13.9;22.4;-18.3;-9.9;-5.8;12.1;0.1;-2.1;-7.1;-5.5;0.9;Baisse modérée;-2.7;3.1;231.0;0.0;-22.0;-1.4;-51.4;2114;14;99.3;2.1;11;26999499;5;2, 3, 9, 11, 3bis;;;36.1;31.8;38.3;Moyenne;2175601;1140772;1386846;9106;39727;43.6;Moyen (10-20%)
