Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
222;Métro;JAVEL-ANDRE CITROEN;1589561;10;;;;;Paris;15
232;Métro;FUNICULAIRE;1528671;2;;;;;Paris;18
237;Métro;BREGUET-SABIN;1490160;5;;;;;Paris;11
250;Métro;VAVIN;1322588;4;;;;;Paris;14
300;Métro;PORTE D'AUTEUIL;375748;10;;;;;Paris;16
15;RER;SAINT-MICHEL-NOTRE-DAME;4376933;B;;;;;Paris;
26;RER;DENFERT-ROCHEREAU-RER;3011780;B;;;;;Paris;14
35;RER;BUSSY-SAINT-GEORGES;2338585;A;;;;;Bussy-Saint-Georges;
9;Métro;LA DEFENSE;9256802;1;;;;;Puteaux;
58;Métro;SAINT-MANDE-TOURELLE;3944640;1;;;;;Saint Mandé;
61;Métro;BERCY;3884212;6;14;;;;Paris;12
70;Métro;DAUMESNIL;3634023;6;8;;;;Paris;12
62;Métro;MARCEL SEMBAT;3874792;9;;;;;Boulogne Billancourt;
101;Métro;PORTE DE BAGNOLET;3085790;3;;;;;Paris;20
78;Métro;PORTE DE SAINT-CLOUD;3485946;9;;;;;Paris;16
151;Métro;PYRENEES;2288587;11;;;;;Paris;20
200;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;1764879;7;;;;;Villejuif;
236;Métro;PORTE D'ITALIE;1507152;7;;;;;Paris;13
246;Métro;MICHEL BIZOT;1403416;8;;;;;Paris;12
214;Métro;CRETEIL-L'ECHAT;1660120;8;;;;;Créteil;
219;Métro;EXELMANS;1607223;9;;;;;Paris;16
18;RER;LUXEMBOURG;3624948;B;;;;;Paris;5
258;Métro;SEVRES-LECOURBE;1257040;6;;;;;Paris;15
172;Métro;ARGENTINE;2079212;1;;;;;Paris;17
173;Métro;SIMPLON;2056501;4;;;;;Paris;18
7;RER;MASSY-PALAISEAU;6819340;B;;;;;Massy;
31;RER;MARNE-LA-VALLEE-CHESSY;2525654;A;;;;;Montévrain;
45;RER;LES BACONNETS;1597521;B;;;;;Antony;
57;RER;SCEAUX;538058;B;;;;;sceaux;
288;Métro;RENNES;861334;12;;;;;Paris;6
305;Métro;EGLISE D'AUTEUIL;124941;10;;;;;Paris;16
38;RER;BOISSY-SAINT-LEGER;2197101;A;;;;;Boissy-Saint-Léger;
63;RER;COURCELLE-SUR-YVETTE;394292;B;;;;;Gif sur Yvette;
14;Métro;PLACE D'ITALIE;7119097;5;6;7;;;Paris;13
22;Métro;CHATEAU ROUGE;5841122;4;;;;;Paris;18
52;Métro;JAURES;4055461;2;5;7bis;;;Paris;19
60;Métro;GALLIENI;3899195;3;;;;;Bagnolet;
89;Métro;PORTE DE PANTIN;3374733;5;;;;;Paris;19
114;Métro;JUSSIEU;2889642;7;10;;;;Paris;5
120;Métro;BONNE NOUVELLE;2806227;8;9;;;;Paris;10
127;Métro;CHARONNE;2705320;9;;;;;Paris;12
148;Métro;POISSONNIERE;2306725;7;;;;;Paris;10
154;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;2269487;8;;;;;Maisons -Alfort;
156;Métro;SENTIER;2222744;3;;;;;Paris;3
162;Métro;PERNETY;2173567;13;;;;;Paris;14
204;Métro;DUGOMMIER;1725412;6;;;;;Paris;12
221;Métro;PORTE DE CHOISY;1592144;7;;;;;Paris;13
248;Métro;EDGAR QUINET;1349178;6;;;;;Paris;14
276;Métro;PONT MARIE;1101482;7;;;;;Paris;4
286;Métro;PICPUS;931602;6;;;;;Paris;12
2;RER;GARE DE LYON-RER;27505309;A;;;;;Paris;12
6;Métro;BIBLIOTHEQUE;11104474;14;;;;;Paris;13
10;Métro;CHATELET;8350794;1;4;7;11;14;Paris;1
15;Métro;BOBIGNY-PABLO PICASSO;6561327;5;;;;;Bobigny;
21;Métro;HAVRE-CAUMARTIN;5894982;3;9;;;;Paris;9
28;Métro;TROCADERO;5284134;6;9;;;;Paris;16
37;Métro;LA COURNEUVE-8 MAI 1945;4924444;7;;;;;La Courneuve;
47;Métro;CHARLES DE GAULLE-ETOILE;4291663;1;2;6;;;Paris;8
65;Métro;SAINT-MICHEL;3747385;4;;;;;Paris;5
130;Métro;DUROC;2645064;10;13;;;;Paris;7
136;Métro;VAUGIRARD;2482886;12;;;;;Paris;15
139;Métro;MARX DORMOY;2425928;12;;;;;Paris;18
142;Métro;SAINT-GERMAIN DES PRES;2378860;4;;;;;Paris;6
144;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2335465;5;;;;;Pantin;
209;Métro;CORENTIN CARIOU;1697076;7;;;;;Paris;19
212;Métro;LE PELETIER;1677832;7;;;;;Paris;9
217;Métro;TELEGRAPHE;1636898;11;;;;;Paris;20
244;Métro;JASMIN;1418238;9;;;;;Paris;16
269;Métro;LIEGE;1143956;13;;;;;Paris;8
285;Métro;MIRABEAU;1001302;10;;;;;Paris;16
32;RER;LAPLACE;2414948;B;;;;;Arcueil;
48;RER;LA VARENNE-CHENNEVIERES;1552324;A;;;;;saint-Maur des Fossés;
30;Métro;VILLEJUIF-LOUIS ARAGON;5218070;7;;;;;Villejuif;
97;Métro;PEREIRE;3130190;3;;;;;Paris;17
99;Métro;FORT D'AUBERVILLIERS;3103518;7;;;;;Aubervilliers;
163;Métro;BLANCHE;2167570;2;;;;;Paris;9
16;Métro;STRASBOURG-SAINT-DENIS;6345770;4;8;9;;;Paris;2
145;Métro;LOUISE MICHEL;2319185;3;;;;;Levallois-Perret;
2;Métro;SAINT-LAZARE;33128384;3;9;12;13;14;Paris;8
18;Métro;FRANKLIN D. ROOSEVELT;6173830;1;9;;;;Paris;8
257;Métro;CLUNY LA SORBONNE;1261818;10;;;;;Paris;5
53;Métro;MAIRIE DE CLICHY;4043071;13;;;;;Clichy;
304;Métro;PELLEPORT;229524;3bis;;;;;Paris;20
167;Métro;RAMBUTEAU;2127291;11;;;;;Paris;3
31;Métro;OLYMPIADES;5214595;14;;;;;Paris;13
110;Métro;COUR SAINT-EMILION;2985122;14;;;;;Paris;12
138;Métro;RUE DE LA POMPE;2449458;9;;;;;Paris;16
213;Métro;SAINT-MARCEL;1666744;5;;;;;Paris;13
177;Métro;PORTE DAUPHINE;2021656;2;;;;;Paris;16
231;Métro;PORTE DE CHARENTON;1529778;8;;;;;Paris;12
227;Métro;LOUIS BLANC;1548029;7;7bis;;;;Paris;10
235;Métro;WAGRAM;1508617;3;;;;;Paris;17
279;Métro;FILLES DU CALVAIRE;1093673;8;;;;;Paris;3
261;Métro;SAINT-FRANCOIS-XAVIER;1213378;13;;;;;Paris;7
44;RER;LE PARC DE SAINT-MAUR;1617366;A;;;;;Saint-Maur des Fossés;
274;Métro;MONTGALLET;1108395;8;;;;;Paris;12
9;RER;VINCENNES;5523693;A;;;;;Vincennes;
21;RER;SAINT-GERMAIN-EN-LAYE;3337962;A;;;;;Saint-Germain-en-Laye;
42;RER;ORSAY-VILLE;1776712;B;;;;;Orsay;
64;RER;MASSY-VERRIERES;394292;B;;;;;Massy;
206;Métro;ETIENNE MARCEL;1705639;4;;;;;Paris;1
226;Métro;CORVISART;1570331;6;;;;;Paris;13
242;Métro;RUE DU BAC;1423364;12;;;;;Paris;7
294;Métro;BOTZARIS;669323;7bis;;;;;Paris;19
36;RER;PORT ROYAL;2327686;B;;;;;Paris;5
52;RER;LE VESINET-CENTRE;974465;A;;;;;Le Vésinet;
122;Métro;LES COURTILLES;2802689;13;;;;;Asnières sur Seine;
20;Métro;NATION;6050797;1;2;6;9;;Paris;12
161;Métro;BOULOGNE-PONT DE SAINT-CLOUD;2182738;10;;;;;Boulogne Billancourt;
233;Métro;ABBESSES;1513884;12;;;;;Paris;18
254;Métro;MAUBERT-MUTUALITE;1280387;10;;;;;Paris;5
117;Métro;JULES JOFFRIN;2854819;12;;;;;Paris;18
267;Métro;SAINT-SEBASTIEN-FROISSART;1151192;8;;;;;Paris;3
27;RER;NANTERRE-VILLE;2993230;A;;;;;Nanterre;
284;Métro;CITE;1004657;4;;;;;Paris;4
27;Métro;MADELEINE;5330928;8;12;14;;;Paris;8
190;Métro;JOURDAIN;1881321;11;;;;;Paris;20
49;Métro;PORTE D'ORLEANS;4175817;4;;;;;Paris;14
224;Métro;COURCELLES;1583429;2;;;;;Paris;17
88;Métro;SEVRES-BABYLONE;3392504;10;12;;;;Paris;7
238;Métro;NOTRE-DAME-DES-CHAMPS;1487256;12;;;;;Paris;6
132;Métro;ALMA-MARCEAU;2564842;9;;;;;Paris;8
135;Métro;CRETEIL-UNIVERSITE;2496595;8;;;;;Créteil;
266;Métro;FELIX FAURE;1161978;8;;;;;Paris;15
182;Métro;VILLEJUIF-LEO LAGRANGE;1952627;7;;;;;Villejuif;
283;Métro;CAMPO-FORMIO;1016150;5;;;;;Paris;13
228;Métro;RICHARD LENOIR;1544636;5;;;;;Paris;11
8;RER;AUBER;6549601;A;;;;;Paris;9
289;Métro;QUAI DE LA RAPEE;798728;5;;;;;Paris;12
25;RER;JOINVILLE-LE-PONT;3034093;A;;;;;Joinville-le-Pont;
43;RER;BAGNEUX;1742783;B;;;;;Cachan;
54;RER;PALAISEAU;694838;B;;;;;Palaiseau;
23;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;5616435;7;;;;;Aubervilliers;
41;Métro;PONT DE NEUILLY;4809503;1;;;;;Neuilly Sur Seine;
42;Métro;GAMBETTA;4796724;3;3bis;;;;Paris;20
46;Métro;SAINT-PAUL;4295823;1;;;;;Paris;4
57;Métro;LES SABLONS;3954920;1;;;;;Neuilly Sur Seine;
68;Métro;CROIX DE CHAVAUX;3729545;9;;;;;Montreuil;
82;Métro;VOLTAIRE;3454006;9;;;;;Paris;11
91;Métro;SAINT-DENIS-PORTE DE PARIS;3355836;13;;;;;Saint Denis;
93;Métro;PORTE DE VERSAILLES;3268157;12;;;;;Paris;15
211;Métro;ROME;1696331;2;;;;;Paris;17
225;Métro;SAINT-SULPICE;1571987;4;;;;;Paris;6
19;RER;VAL D'EUROPE;3576573;A;;;;;Serris;
28;RER;CHAMPIGNY;2833616;A;;;;;Saint-Maur des Fossés;
50;RER;LE VESINET-LE PECQ;1436318;A;;;;;Le Vésinet;
